,Name,Address,Website,Phone,Rating,Reviews
0,The L Apartments," 205 W Davie St, Raleigh, NC 27601",thelapartments.com,(855) 757-4946,4.7,24.0
1,The Courtyard Apartments," 1531 Crest Rd, Raleigh, NC 27606",,,,
2,Apartments of Westgrove," 4929 Faber Dr, Raleigh, NC 27606",apartmentsofwestgrove.com,(919) 851-1818,4.5,20.0
3,The Wilde Raleigh Apartments," 3333 Melrose Club Blvd, Raleigh, NC 27603",thewilderaleigh.com,(919) 928-5322,4.2,517.0
4,Woodland Apartments," 815 Suffolk Blvd # A, Raleigh, NC 27603",,,,
5,Tryon Village Apartments," 2421 Fairway Dr # E, Raleigh, NC 27603",tryonvillageapartments.com,(919) 773-2518,4.0,8.0
6,Village Green," 2000 Village Bluff Pl, Raleigh, NC 27603",vgapartments.com,(919) 249-9662,3.8,126.0
7,Elan City Center Apartments," 510 N Wilmington St, Raleigh, NC 27604",liveelancitycenter.com,(833) 669-1212,4.6,45.0
8,The Edison Lofts Apartments," 131 E Davie St, Raleigh, NC 27601",cr-edisonloftsapts.com,(919) 582-7870,4.5,40.0
9,Club Plaza Apartments," 2835 Club Plaza Rd, Raleigh, NC 27603",dhic.org,(919) 662-1910,1.0,2.0
10,The Greens at Tryon Apartments," 2805 Par Dr, Raleigh, NC 27603",thegreensattryon.com,(919) 772-9021,4.4,135.0
11,Mission Valley Apartments," 705 Centennial Pkwy, Raleigh, NC 27606",,,,
12,Friendly Apartments," 105 Friendly Dr, Raleigh, NC 27607",105friendly.com,(855) 200-3559,3.0,14.0
13,South Ridge Apartments," 1622 Proctor St, Raleigh, NC 27610",southridgeapts.com,(919) 829-1705,3.6,29.0
14,Camden Carolinian Apartments," 2600 Glenwood Ave, Raleigh, NC 27608",camdenliving.com,(877) 467-4615,4.2,30.0
15,616 at the Village Apartments," 616 Oberlin Rd, Raleigh, NC 27605",616atthevillage.com,(919) 999-8819,4.9,143.0
16,Clarion Crossing Apartments," 1141 Crab Orchard Dr, Raleigh, NC 27606",clarioncrossingapartments-prg.com,(919) 647-9678,4.0,143.0
17,The Lincoln Apartments," 408 E Hargett St, Raleigh, NC 27601",thelincolnraleigh.com,(833) 454-0598,4.6,59.0
18,The Proper Raleigh Apartments," 403 Wolf Creek Cir, Raleigh, NC 27606",liveproperraleigh.com,(919) 827-1007,3.3,600.0
19,The Gramercy Apartments," 650 W North St, Raleigh, NC 27603",livethegramercy.com,(844) 705-8551,4.5,44.0
20,Mordecai On Clover Townhome Apartments," 420 Clover Ln, Raleigh, NC 27604",mordecaionclover.com,(855) 738-7919,4.6,26.0
21,The Raleigh Apartments," 740 Smallwood Dr #17, Raleigh, NC 27605",raleigh-apts.com,(919) 839-2218,4.1,18.0
22,Arbor Creek Apartments," 5400 Portree Pl #6, Raleigh, NC 27606",arborcreekraleigh-apts.com,(984) 230-8472,2.6,106.0
23,Park Central Apartments," 200 Park at N Hills St #121, Raleigh, NC 27609",parkcentralraleigh.com,(866) 544-4743,4.8,67.0
24,Shammah Winds Apartments," 1407 Sawyer Rd, Raleigh, NC 27610",upmapartments.com,(919) 831-9785,2.7,3.0
25,Colonial Arms Apartments," 1713 Crest Rd, Raleigh, NC 27606",,,,
26,Link Apartments Glenwood South," 202 N West St, Raleigh, NC 27603",linkglenwood.com,(844) 769-0985,4.4,34.0
27,Walnut Creek Apartments," 700 Ryan Ct, Raleigh, NC 27606",walnutcreekraleigh.com,(919) 833-5588,4.3,12.0
28,Capital Flats Apartments," 500 E Hargett St, Raleigh, NC 27601",raleighapartmenthomes.com,(919) 899-4003,3.9,7.0
29,Marshall Park Apartments & Townhomes," 3950 Fairsted Dr, Raleigh, NC 27612",simpsonpropertygroup.com,(984) 260-3787,3.8,62.0
30,Culp's Apartments," 3705 Lexington Dr, Raleigh, NC 27606",culps.us,(919) 208-3885,,
31,Allie's Apartment," 3520 Cum Laude Ct, Raleigh, NC 27606",,,,
32,Meadow Springs Apartments," 190 Fieldspring Ln, Raleigh, NC 27606",evergreenconstructionco.com,(919) 233-0084,5.0,4.0
33,Mission Valley Garden Apartments," 2151 Avent Ferry Rd, Raleigh, NC 27606",,,,
34,The Devon Four25 Apartments," 425 N Boylan Ave, Raleigh, NC 27603",thedevonapts.com,(919) 833-8557,4.4,26.0
35,Lake Johnson Mews Apartments & Townhomes," 4233 Avent Ferry Rd, Raleigh, NC 27606",lakejohnsonmews-prg.com,(919) 827-8431,4.8,107.0
36,The Greens at Centennial Campus," 320 The Greens Cir, Raleigh, NC 27606",thegreenscentennial.com,(919) 887-8298,4.3,25.0
37,Cameron Court Apartments," 804 W Morgan St, Raleigh, NC 27603",cameroncourtapts.com,(919) 832-5395,4.7,109.0
38,Brook Hill Townhouses," 5425-A, Dana Dr, Raleigh, NC 27606",gscapts.com,(855) 330-9661,3.2,42.0
39,College View Apartments," 1611 Collegeview Ave, Raleigh, NC 27606",collegeview-apartments.com,(919) 945-4313,,
40,Apartment," 1140 Carlton Ave, Raleigh, NC 27606",,,,
41,Bacarra Apartments," 6411 Farm Gate Rd, Raleigh, NC 27606",bacarra-apts.com,(919) 307-8563,3.2,95.0
42,Inman Park Apartments," 2105 Sheltonham Way, Raleigh, NC 27612",inmanparkapartments.com,(919) 787-4622,4.3,58.0
43,Camden Overlook Apartments," 4703 Summit Overlook Dr, Raleigh, NC 27612",camdenliving.com,(919) 786-1800,3.9,88.0
